epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,206.133,1.7663,2.24218,1.06526,0.39498,0.21301,0.17061,0.0929,1.59646,1.44151,1.00904,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127,0.00999382,0.00333127
2,366.12,1.69411,1.6219,1.02771,0.3108,0.25738,0.19994,0.11104,1.57828,1.36184,0.99555,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298,0.0199889,0.00666298
3,585.014,1.69517,1.54879,1.02838,0.32596,0.2755,0.22171,0.12299,1.56002,1.31689,1.00316,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817,0.0299645,0.00998817
4,844.8,1.69464,1.51317,1.02983,0.34415,0.30621,0.24412,0.13288,1.5663,1.28274,1.00507,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,1102.62,1.65926,1.42379,1.01565,0.38345,0.29923,0.2615,0.14664,1.51086,1.23283,0.99015,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,1360.51,1.62121,1.35892,1.00818,0.38991,0.31702,0.26734,0.14936,1.49813,1.20614,0.98823,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1617.06,1.60225,1.31975,1.00063,0.38952,0.32109,0.27579,0.15678,1.48389,1.18374,0.98411,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1878.27,1.58313,1.29119,0.99736,0.41901,0.32896,0.28899,0.16253,1.47903,1.16854,0.9805,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,2138.71,1.56835,1.25875,0.99079,0.42376,0.32945,0.29821,0.16994,1.45031,1.15549,0.97243,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,2397.56,1.56346,1.24056,0.98574,0.4265,0.33518,0.30362,0.17244,1.46168,1.14123,0.9732,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,2655.76,1.55167,1.22211,0.98248,0.43571,0.33432,0.30447,0.17308,1.44608,1.13942,0.96859,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,2880.53,1.53956,1.21558,0.97969,0.44063,0.34203,0.31687,0.18221,1.43892,1.11864,0.96827,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,3026.24,1.52968,1.19767,0.97921,0.44881,0.34697,0.32155,0.18326,1.42623,1.10839,0.96459,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,3174.7,1.51773,1.18558,0.97621,0.44878,0.35336,0.32886,0.18941,1.42828,1.09786,0.96061,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,3322.2,1.51461,1.16939,0.97013,0.44454,0.35865,0.32948,0.1892,1.41999,1.08536,0.95864,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,3472.24,1.50984,1.16649,0.96843,0.4497,0.35637,0.33389,0.19101,1.41682,1.07956,0.95825,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,3617.91,1.50024,1.15608,0.96939,0.45904,0.36078,0.33382,0.19081,1.42112,1.08228,0.95939,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,3763.34,1.49328,1.14291,0.96583,0.46251,0.35964,0.33746,0.19558,1.40272,1.07957,0.95239,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,3908.48,1.48836,1.13337,0.96456,0.46966,0.36059,0.34331,0.19809,1.39959,1.05807,0.95208,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,4056.84,1.4899,1.12727,0.9643,0.47198,0.36691,0.34775,0.20044,1.4,1.05205,0.95136,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,4201.22,1.48457,1.12472,0.96186,0.46977,0.36979,0.34912,0.20268,1.38902,1.05175,0.95077,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,4347.02,1.4789,1.11501,0.96008,0.47061,0.36735,0.34783,0.20095,1.39042,1.05215,0.95071,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,4492.67,1.47217,1.1077,0.95998,0.47718,0.37849,0.35588,0.20494,1.38815,1.04467,0.94891,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,4639.98,1.46753,1.1016,0.95879,0.47693,0.36886,0.34978,0.20368,1.3937,1.04599,0.95163,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,4787.18,1.46284,1.09254,0.95818,0.48827,0.37722,0.36115,0.20934,1.38739,1.04023,0.95095,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,4931.66,1.46601,1.09469,0.95676,0.46966,0.37696,0.35732,0.2078,1.38192,1.03777,0.94697,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,5081.09,1.44692,1.08487,0.95423,0.47319,0.37808,0.35873,0.20765,1.3761,1.03243,0.94658,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,5230.73,1.45767,1.08172,0.95172,0.4921,0.37361,0.36313,0.21057,1.37573,1.02972,0.94627,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,5376.69,1.45786,1.08228,0.95048,0.47956,0.37633,0.36112,0.20895,1.37221,1.03059,0.94471,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
